Generation Number,Lineage 0 (Wx - fitness points),Lineage 1 (Wx - fitness points),Lineage 2 (Wx - fitness points),Lineage 3 (Wx - fitness points),Lineage 4 (Wx - fitness points),Lineage 5 (Wx - fitness points),Lineage 6 (Wx - fitness points),Lineage 7 (Wx - fitness points)
973,122222222888889396820000000,333333845490000000,11111111333335167010000000,333334168070000000,11111112666668492900000000,333334296510000000,333335245350000000,222235095710000000
974,122222222888889396820000000,333333845490000000,11111111333335167220000000,333334167880000000,11111112666668492900000000,333334296510000000,333335244810000000,222235097030000000
975,122222222888889396820000000,333333845490000000,11111111333335166170000000,333334167770000000,11111112666668491800000000,333334295310000000,333335244810000000,222222755040000000
976,122222222888889396820000000,333333845490000000,11111111333335166170000000,333334166400000000,11111112666668491800000000,333334295310000000,333335244580000000,222222755040000000
977,122222222888889396820000000,333333844290000000,11111111333335165900000000,333334166400000000,11111112666668489520000000,333334295310000000,333335244580000000,222222755040000000
978,122222222888889395700000000,222222733300000000,11111111333335165240000000,333334166400000000,11111112666668489520000000,333334295330000000,333335244450000000,222222755040000000
979,122222222888889395700000000,222222731890000000,11111111333335165240000000,333334166370000000,11111112666668489520000000,333334295220000000,333335243590000000,222222755040000000
980,122222222888889395700000000,222222731890000000,11111111333335165240000000,333334166370000000,11111112666668488320000000,333334295340000000,333335242480000000,222222756390000000
981,122222222888889395700000000,222222731890000000,11111111333335165240000000,333334166070000000,11111112666668488320000000,333334294450000000,333335241400000000,222222742820000000
982,122222222888889395910000000,222222731890000000,11111111333335165240000000,333334166070000000,11111112666668487040000000,333334293310000000,333335241800000000,222222741840000000
983,122222222888889395600000000,222222730700000000,11111111333335165240000000,333334165850000000,11111112666668487040000000,333334293310000000,333335240710000000,222222741840000000
984,122222222888889394180000000,222222730700000000,11111111333335164210000000,333334165850000000,11111112666668487040000000,333334292790000000,333335240710000000,222222741730000000
985,122222222888889394180000000,222222730700000000,11111111333335164210000000,333334165850000000,11111112666668484580000000,333334292790000000,333335240710000000,222222741730000000
986,122222222888889394180000000,222222730820000000,11111111333335161760000000,333334165450000000,11111112666668483780000000,333334292550000000,333335239500000000,222222741730000000
987,122222222888889394180000000,222222730060000000,11111111333335161760000000,333334165450000000,11111112666668483780000000,333334292520000000,333335239500000000,222222741540000000
988,122222222888889394180000000,222222730060000000,11111111333335161760000000,333334165450000000,11111112666668483780000000,333334292520000000,333335239280000000,222222741540000000
989,122222222888889394180000000,222222730060000000,11111111333335160860000000,333334163100000000,11111112666668482640000000,333334292520000000,333335239280000000,222222741540000000
990,122222222888889394180000000,222222730060000000,11111111333335160860000000,333334163100000000,11111112666668483060000000,333334292310000000,333335239270000000,222222741220000000
991,122222222888889394180000000,222222729640000000,11111111333335160860000000,333334163100000000,11111112666668481030000000,333334292310000000,333335238760000000,222222741220000000
992,122222222888889394180000000,222222728450000000,11111111333335160880000000,333334163100000000,11111112666668480180000000,333334292310000000,333335238760000000,222222741220000000
993,122222222888889394180000000,222222727050000000,11111111333335160640000000,333334163100000000,11111112666668480180000000,333334292310000000,333335238760000000,222222741220000000
994,122222222888889394180000000,222222727050000000,11111111333335161550000000,333334163090000000,11111112666668480180000000,333334292310000000,333335238080000000,222222741220000000
995,122222222888889393120000000,222222727050000000,11111111333335159690000000,333334163090000000,11111112666668480180000000,333334291120000000,333335238080000000,222222741220000000
996,122222222888889392010000000,222222727050000000,11111111333335159690000000,333334162890000000,11111112666668480180000000,333334291120000000,333335238080000000,222222741220000000
997,122222222888889392010000000,222222727050000000,11111111333335159690000000,333334162290000000,11111112666667246760000000,333334291120000000,333335237440000000,222222741220000000
998,122222222888889392010000000,222222725730000000,11111111333335159690000000,333334162380000000,11111112666667245650000000,333334291120000000,333335237440000000,222222741220000000
999,122222222888889392010000000,222222725730000000,11111111333335159380000000,333334161960000000,11111112666667245650000000,333334289820000000,333335237440000000,222222741220000000
1000,122222222888889392010000000,222222723730000000,11111111333335158260000000,333334161960000000,11111112666667245550000000,333334289820000000,333335236520000000,222222741220000000
1001,122222222888889389460000000,222222723730000000,11111111333335158260000000,333334161710000000,11111112666667243640000000,333334289720000000,333335236520000000,222222741220000000
1002,122222222888889389460000000,222222723730000000,11111111333335158260000000,333334161710000000,11111112666667243650000000,333334289720000000,333335235080000000,222222740930000000
1003,122222222888889389460000000,222222723730000000,11111111333335158260000000,333334161710000000,11111112666667242640000000,333334289600000000,333335235080000000,222222740930000000
1004,122222222888889389460000000,222222723200000000,11111111333335156460000000,333334161710000000,11111112666667241690000000,333334289600000000,333335235080000000,222222740660000000
1005,122222222888889389460000000,222222723200000000,11111111333335156460000000,333334161710000000,11111112666667241690000000,333334289600000000,333335233950000000,222222738180000000
1006,122222222888889388990000000,222222723300000000,11111111333335156460000000,333334161710000000,11111112666667241690000000,333334289600000000,333335233950000000,222222737550000000
1007,122222222888889388860000000,222222722200000000,11111111333335156460000000,333334161710000000,11111112666667241690000000,333334289600000000,333335233950000000,222222725420000000
1008,122222222888889388160000000,222222722200000000,11111111333335156460000000,333334161710000000,11111112666667241760000000,333334289110000000,333335233950000000,222222725420000000
1009,122222222888889387980000000,222222722200000000,11111111333335156460000000,333334161710000000,11111112666667241410000000,333334289110000000,333335233950000000,222222724500000000
1010,122222222888889387640000000,222222722030000000,11111111333335155650000000,333334161710000000,11111112666667241410000000,333334289110000000,333335233610000000,222222724500000000
1011,122222222888889386540000000,222222722030000000,11111111333335155650000000,333334160510000000,11111112666667241210000000,333334289110000000,333335232440000000,222222724500000000
1012,122222222888889385530000000,222222722030000000,11111111333335155650000000,333334159420000000,11111112666667241210000000,333334287570000000,333335232450000000,222222724500000000
1013,122222222888889385530000000,222222722030000000,11111111333335155650000000,333334159420000000,11111112666667241210000000,333334287480000000,333335231000000000,222222724500000000
1014,122222222888889385520000000,222222722030000000,11111111333335155650000000,333334159420000000,11111112666667240930000000,333334287480000000,333335231000000000,222222724500000000
1015,122222222888889385520000000,222222722030000000,11111111333335155650000000,333334159420000000,11111112666667240840000000,333334287140000000,333335219780000000,222222723370000000
1016,122222222888889385520000000,222222722030000000,11111111333335154480000000,333334159420000000,11111112666667240840000000,333334286910000000,333335219780000000,222222723370000000
1017,122222222888889385520000000,222222719860000000,11111111333335154480000000,333334159400000000,11111112666667240840000000,333334286910000000,333335219780000000,222222722320000000
1018,122222222888889385520000000,222222717410000000,11111111333335154480000000,333334159400000000,11111112666667240840000000,333334286910000000,333335219780000000,222222722430000000
1019,122222222888889385520000000,222222717410000000,11111111333335154480000000,333334159400000000,11111112666667239360000000,333334177440000000,333335219780000000,222222721330000000
1020,122222222888889385320000000,222222717410000000,11111111333335154480000000,222223048370000000,11111112666667239360000000,333334177440000000,333335219780000000,222222721330000000
1021,122222222888889384390000000,222222717410000000,11111111333335154480000000,222223048260000000,11111112666667239360000000,333334175890000000,333335219780000000,222222721330000000
1022,122222222888889384390000000,222222716300000000,11111111333333923170000000,222223046080000000,11111112666667239270000000,333334175890000000,333335219780000000,222222721210000000
1023,122222222888889373420000000,222222716200000000,11111111333333923170000000,222223046080000000,11111112666667239270000000,333334175890000000,333335208610000000,222222721210000000
1024,122222222888889373420000000,222222716200000000,11111111333333923170000000,222223047390000000,11111112666667239270000000,333334175890000000,333335208610000000,222222721210000000
1025,122222222888889373420000000,222222716200000000,11111111333333923170000000,222223036320000000,11111112666667239270000000,333334175890000000,333335208610000000,222222719910000000
1026,122222222888889373080000000,222222716200000000,11111111333333923170000000,222223036320000000,11111112666667239270000000,333334175890000000,333335208610000000,222222732840000000
1027,122222222888889373080000000,222222716200000000,11111111333333923170000000,222223036320000000,11111112666667239130000000,333334175890000000,333335206950000000,222222719580000000
1028,122222222888889373080000000,222222714950000000,11111111333333923170000000,222223036320000000,11111112666667237600000000,333334175890000000,333335195520000000,222222719540000000
1029,122222222888889373080000000,222222714950000000,11111111333333923170000000,222223036320000000,11111112666667236280000000,333334175890000000,333335195520000000,222222719540000000
1030,122222222888889373080000000,222222714950000000,11111111333333923170000000,222223036320000000,11111112666667236170000000,333334175890000000,333335195520000000,222222719540000000
1031,122222222888889373080000000,222222713840000000,11111111333333923170000000,222223036320000000,11111112666667236170000000,333334175710000000,333335195520000000,222222719540000000
