Generation Number,Lineage 0 (Wx - fitness points),Lineage 1 (Wx - fitness points),Lineage 2 (Wx - fitness points),Lineage 3 (Wx - fitness points),Lineage 4 (Wx - fitness points),Lineage 5 (Wx - fitness points),Lineage 6 (Wx - fitness points),Lineage 7 (Wx - fitness points)
96,5278825009979600,2677541196921000,6063830372498200,5215906099938200,9048588477860200,2686500162551000,4326985112721400,4245904247833600
97,5274515225509800,2676828599696000,6062139327718400,5215906099938200,9043671314892400,2686500162551000,4326985112721400,4244239022597000
98,5274515225509800,2676828599696000,6086265729952800,5215906099938200,9043671314892400,2686500162551000,4326985112721400,4244239022597000
99,5271805671469000,2676812889032400,6008121097645400,5215906099938200,9021171886242200,2658880708376000,4326985112721400,4244239022597000
100,5271805671469000,2678806445389200,6008121097645400,5189821625284200,9021171886242200,2638310767572400,4321907647607400,4244239022597000
101,5268900765028200,2657304703081600,6006900962627200,5189821625284200,9021045138457600,2637843141475000,4321907647607400,4244014983587000
102,4997985530110600,2657304703081600,6007627696519400,5169936986342400,8989583724276600,2610884659299600,4321907647607400,4265837111156200
103,4997985530110600,2628125556395600,6001885999114200,5147281187654400,8984474029062000,2610884659299600,4321031132347200,4040683972763200
104,5027241587935400,2628218853837600,5756102873185200,5147281187654400,8983120464661600,2610884659299600,4321031132347200,4040683972763200
105,4973087752103400,2622308121725000,5756102873185200,5145042687414600,8981082106804200,2610884659299600,4321031132347200,4040683972763200
106,4708309379810000,2622308121725000,5736174283295400,5145042687414600,8986960630955200,2610884659299600,4320889095221200,4040683972763200
107,4706175520515200,2622308121725000,5736174283295400,5145042687414600,8968027382333200,2608365302919800,4119816618791000,3769899331091600
108,4706175520515200,2620129983771400,3239427523647400,5145042687414600,6523045732815600,2608365302919800,4119816618791000,3769899331091600
109,4706175520515200,2620129983771400,3236853555288200,5100766260951400,6523045732815600,2582421861659400,4113121939407400,3764369062016000
110,4706175520515200,2593175383173600,3236853555288200,5095752065087400,6522126769703600,2582421861659400,4113121939407400,3773864225972000
111,4706175520515200,2593175383173600,3212747872747000,5095521678855400,6519325623498600,2580001022854800,4113121939407400,3526368681204000
112,4706175520515200,2593175383173600,3212747872747000,5095521678855400,6519325623498600,2580001022854800,4089000651994800,3525614488670400
113,4686067797157600,2592868671164000,3210223944115800,5095521678855400,6519305604940000,2563163827336600,4089000651994800,3523683954495400
114,4686067797157600,2589896771484800,3207270770927600,5095440679070600,6519305604940000,2557800005504400,4089000651994800,3523683954495400
115,4686067797157600,2589896771484800,3185153899942600,2623310702640800,6519305604940000,2314931503831000,4089000651994800,3523683954495400
116,4655098317073000,2589896771484800,3185153899942600,2623310702640800,6518476677542200,2314931503831000,4089000651994800,3523598037529200
117,4655098317073000,2589896771484800,3184639669711400,2623310702640800,6516522698579800,2314931503831000,4084756580024800,3523598037529200
118,4655098317073000,2589896771484800,3184639669711400,2623310702640800,6510165527827000,2314931503831000,4078252176307400,3523598037529200
119,4655098317073000,2561690593198400,3161212321611800,2623310702640800,6505176149542400,2314931503831000,4053068098056600,3284583909289200
120,4655098317073000,2561690593198400,3161212321611800,2625863369412800,6505176149542400,2314931503831000,3830388107560400,3284583909289200
121,4655098317073000,2561690593198400,2889137692610200,2622433078880800,6504703014058000,2314931503831000,3825629068372200,3284583909289200
122,4651599174876400,2538061309020800,2889137692610200,2622433078880800,6504703014058000,2314931503831000,3825629068372200,3284583909289200
123,4651599174876400,2538061309020800,2889137692610200,2622433078880800,6481604815025400,2310880580981000,3825629068372200,3262322005024800
124,4651599174876400,2537662133228400,2889137692610200,2622433078880800,6222060307337800,2330749908081000,3569103761777600,3238012089618800
125,4649309427860000,2537662133228400,2889028061074200,2622354010347000,6222060307337800,2305518561834400,3569103761777600,3238012089618800
126,4649309427860000,2537662133228400,2889028061074200,2622354010347000,6216943038375400,2296449648017200,3574360830803600,3238012089618800
127,4649309427860000,2532722475449800,2889028061074200,2609813751919200,6216943038375400,2296449648017200,3569009794086200,3238012089618800
128,4649309427860000,2528475480831200,2912715932337800,2609813751919200,6216943038375400,2286394527582800,3569009794086200,3211471759776800
129,4649309427860000,2506351513775000,2887950413746600,2609813751919200,6189809876989200,2286394527582800,3326983514967400,3211471759776800
130,4649309427860000,2506351513775000,2887950413746600,2609813751919200,6189809876989200,2286077444082800,3326944401973600,3211471759776800
131,4649309427860000,2503356295358600,2863386505133400,2609539332840800,6189630629872800,2286077444082800,3326944401973600,3211471759776800
132,4649309427860000,2503356295358600,2864036800417400,2607338032436600,6189630629872800,2286077444082800,3326944401973600,3211471759776800
133,4399171088783400,2501394755948600,2839511769938200,2604477195439000,6170043576495600,2286077444082800,3322623315680200,3211471759776800
134,4399171088783400,2501394755948600,2820923354886200,2604477195439000,6170043576495600,2231638946008600,3322623315680200,3211471759776800
135,4181600224355800,2496362418685600,2792933984359600,2604477195439000,6170043576495600,2231638946008600,3322623315680200,3211471759776800
136,4181600224355800,2496362418685600,2792933984359600,2605249758645200,6170043576495600,2231638946008600,3322623315680200,3215841802674400
137,4181600224355800,2472789951836400,2792933984359600,2575620252084200,6165102363187600,2231638946008600,3322623315680200,3208843353381400
138,4137198248727000,2472789951836400,2768030812529600,2572985512974400,6165102363187600,2231638946008600,3322623315680200,3208843353381400
139,4137198248727000,2450521297467600,2765353417794000,2572985512974400,6139975777326200,2231638946008600,3296980420419800,3208843353381400
140,4137198248727000,2447224834467600,2765353417794000,2572985512974400,6139975777326200,2229702184216800,3296980420419800,3208843353381400
141,4137062631610800,2444545040733200,2762253846437200,2571170758984400,6139975777326200,2226429091974600,3274284011669400,3208843353381400
142,4110318632111000,2453374306025600,2762253846437200,2571170758984400,6139975777326200,2226429091974600,3271746156091800,3206008052869800
143,4110318632111000,2432390500345200,2762253846437200,2571170758984400,6139975777326200,2225207474665800,3271746156091800,3188535476901400
144,4110318632111000,2427786996178600,2757913821352600,2571170758984400,6139975777326200,2225207474665800,3271746156091800,3141615019588200
145,4104387568262400,2426323046489400,2708137943739400,2571170758984400,6139975777326200,2217990402177000,3271746156091800,3141615019588200
146,4104387568262400,2426323046489400,2655845287370200,2542014739860000,6139975777326200,2217990402177000,3271746156091800,3141615019588200
147,4102699553620000,2426323046489400,2631135275990200,2491794089994800,6139975777326200,2217990402177000,3271746156091800,2901894794106800
148,4075407493587600,2426323046489400,2631135275990200,2491794089994800,6143845995216200,2217990402177000,3271746156091800,2901894794106800
149,4073305893323400,2426323046489400,2631135275990200,2491794089994800,6117001644735600,2217990402177000,3270370393994200,2901894794106800
150,4072954633870600,2426323046489400,2631135275990200,2490624375646000,6117001644735600,2217990402177000,3270370393994200,2901497757553000
151,4072954633870600,2421652205569400,2384549187439200,2243603892590400,6117001644735600,2217990402177000,3270370393994200,2901497757553000
152,4051434921872600,2421652205569400,2384549187439200,2241164212517800,6094749852414400,2215608276497000,3270370393994200,2900773466222200
153,4051434921872600,2413080512068600,2381730183139000,2241164212517800,6094749852414400,2212962300510400,3270370393994200,2900773466222200
154,4051434921872600,2415356428009800,2381730183139000,2241164212517800,6086480928378800,2212962300510400,3270370393994200,2900773466222200
155,4031016381271800,2340890631149800,2381730183139000,2241164212517800,6083806509779200,2188388976041600,3263475045867200,2900773466222200
156,4031016381271800,2340890631149800,2381730183139000,2241164212517800,6061875758421200,2163192241513200,3263475045867200,2900773466222200
157,4031016381271800,2311772754708000,2354164447666000,2241164212517800,6040064760869200,2163192241513200,3238778081795800,2900773466222200
158,4031016381271800,2311772754708000,2349997333016800,2241164212517800,6040064760869200,2163192241513200,3238778081795800,2899821624723000
159,4031016381271800,2311772754708000,2349997333016800,2241164212517800,6039973206686200,2163192241513200,3238778081795800,2627162292320600
160,4007201543872000,2311772754708000,2349997333016800,2241164212517800,6039973206686200,2163192241513200,3238778081795800,2627162292320600
161,4004059853602600,2311772754708000,2349997333016800,2219244445365800,6039973206686200,2161206797887400,3218488561048600,2627162292320600
162,4003994408989000,2311772754708000,2329626214262800,2219244445365800,6039195361592200,2161206797887400,3018754693220600,2605381330610800
163,4003994408989000,2311772754708000,2329626214262800,2199346129621800,6039195361592200,2160384148686400,3018754693220600,2604854645829000
164,4006915771225000,2311772754708000,2329626214262800,2199346129621800,6039195361592200,2160384148686400,3018754693220600,2602782028563200
165,3778859419096000,2286656735937200,2329626214262800,2195329680645200,6039195361592200,2158095976712400,3018754693220600,2602782028563200
166,3778859419096000,2286656735937200,2329626214262800,2195624679405000,6039195361592200,2137397418838800,2751922713970600,2602782028563200
167,3776626614077800,2286656735937200,2279876015601000,1954972619216000,6034456776429600,2134713607014600,2751922713970600,2374661480805200
168,3816525799574000,2285428258531000,2279057101074600,1954972619216000,6034456776429600,2132513426614600,2754646944044600,2374661480805200
169,3569863073132400,2285428258531000,2254939368718200,1954972619216000,6031742039191600,2132513426614600,2750244514942000,2371745794162000
170,3567853874902000,2284692637562600,2254324663002200,1955017630094600,6031742039191600,2129845820872600,2751037575738200,2363246235141400
171,3567853874902000,2284692637562600,2254324663002200,1954316516021600,6026078589334800,2129845820872600,2750018407531200,2363246235141400
172,3567853874902000,2284692637562600,2254324663002200,1954316516021600,6026078589334800,2129845820872600,2750018407531200,2364066719917200
173,3567853874902000,2284692637562600,2254324663002200,1954015301153000,6018169546558600,2105079180537800,2750018407531200,2362264660343600
174,3543895709538600,2284692637562600,2254324663002200,1969234800542000,6018169546558600,2105079180537800,2752907195604800,2362264660343600
175,3295648155410600,2281569808157200,2254324663002200,1946895629172400,6017793789359000,2105079180537800,2746015683570800,2339831264735200
176,3302485883756600,2276544455337200,2245393934568000,1946895629172400,6017793789359000,2105079180537800,2746015683570800,2339831264735200
