Strand-37	Domain-05-02-10	c.Domain-05-02-09	c.Domain-04-02-09	Domain-04-02-10		
Strand-38	Domain-03-02-02	c.Domain-03-02-01	c.Domain-02-02-01	Domain-02-02-02		
Strand-39	Domain-03-02-04	c.Domain-03-02-03	c.Domain-04-02-03	Domain-04-02-04		
Strand-40	Domain-03-02-06	c.Domain-03-02-05	c.Domain-02-02-05	Domain-02-02-06		
Strand-41	Domain-03-02-08	c.Domain-03-02-07	c.Domain-04-02-07	Domain-04-02-08		
Strand-42	Domain-03-02-10	c.Domain-03-02-09	c.Domain-02-02-09	Domain-02-02-10		
Strand-46	Domain-02-03-04	c.Domain-02-03-03	c.Domain-03-03-03	Domain-03-03-04		
Strand-48	Domain-02-03-08	c.Domain-02-03-07	c.Domain-03-03-07	Domain-03-03-08		
Strand-49	Domain-02-03-10	c.Domain-02-03-09	c.Domain-01-03-09	Domain-01-03-10		
Strand-50	Domain-04-03-02	c.Domain-04-03-01	c.Domain-03-03-01	Domain-03-03-02		
Strand-51	Domain-04-03-04	c.Domain-04-03-03	c.Domain-05-03-03	Domain-05-03-04		
Strand-52	Domain-04-03-06	c.Domain-04-03-05	c.Domain-03-03-05	Domain-03-03-06		
Strand-53	Domain-04-03-08	c.Domain-04-03-07	c.Domain-05-03-07	Domain-05-03-08		
Strand-54	Domain-04-03-10	c.Domain-04-03-09	c.Domain-03-03-09	Domain-03-03-10		
Strand-55	Domain-06-03-02	c.Domain-06-03-01	c.Domain-05-03-01	Domain-05-03-02		
Strand-56	Domain-06-03-04	c.Domain-06-03-03	c.Domain-07-03-03	Domain-07-03-04		
Strand-57	Domain-06-03-06	c.Domain-06-03-05	c.Domain-05-03-05	Domain-05-03-06		
Strand-58	Domain-06-03-08	c.Domain-06-03-07	c.Domain-07-03-07	Domain-07-03-08		
Strand-59	Domain-06-03-10	c.Domain-06-03-09	c.Domain-05-03-09	Domain-05-03-10		
Strand-60	Domain-08-03-02	c.Domain-08-03-01	c.Domain-07-03-01	Domain-07-03-02		
Strand-61	Domain-08-03-04	c.Domain-08-03-03	c.Domain-09-03-03	Domain-09-03-04		
Strand-62	Domain-08-03-06	c.Domain-08-03-05	c.Domain-07-03-05	Domain-07-03-06		
Strand-63	Domain-08-03-08	c.Domain-08-03-07	c.Domain-09-03-07	Domain-09-03-08		
Strand-64	Domain-08-03-10	c.Domain-08-03-09	c.Domain-07-03-09	Domain-07-03-10		
Strand-67	Domain-10-03-10	c.Domain-10-03-09	c.Domain-09-03-09	Domain-09-03-10		
Strand-68	Domain-09-04-02	c.Domain-09-04-01	c.Domain-08-04-01	Domain-08-04-02		
Strand-70	Domain-09-04-06	c.Domain-09-04-05	c.Domain-08-04-05	Domain-08-04-06		
Strand-72	Domain-09-04-10	c.Domain-09-04-09	c.Domain-08-04-09	Domain-08-04-10		
Strand-73	Domain-07-04-02	c.Domain-07-04-01	c.Domain-06-04-01	Domain-06-04-02		
Strand-74	Domain-07-04-04	c.Domain-07-04-03	c.Domain-08-04-03	Domain-08-04-04		
Strand-75	Domain-07-04-06	c.Domain-07-04-05	c.Domain-06-04-05	Domain-06-04-06		
Strand-76	Domain-07-04-08	c.Domain-07-04-07	c.Domain-08-04-07	Domain-08-04-08		
Strand-77	Domain-07-04-10	c.Domain-07-04-09	c.Domain-06-04-09	Domain-06-04-10		
Strand-78	Domain-05-04-02	c.Domain-05-04-01	c.Domain-04-04-01	Domain-04-04-02		
Strand-79	Domain-05-04-04	c.Domain-05-04-03	c.Domain-06-04-03	Domain-06-04-04		
Strand-80	Domain-05-04-06	c.Domain-05-04-05	c.Domain-04-04-05	Domain-04-04-06		
Strand-81	Domain-05-04-08	c.Domain-05-04-07	c.Domain-06-04-07	Domain-06-04-08		
Strand-82	Domain-05-04-10	c.Domain-05-04-09	c.Domain-04-04-09	Domain-04-04-10		
Strand-83	Domain-03-04-02	c.Domain-03-04-01	c.Domain-02-04-01	Domain-02-04-02		
