Generation Number,Lineage 0 (Wx - fitness points),Lineage 1 (Wx - fitness points),Lineage 2 (Wx - fitness points),Lineage 3 (Wx - fitness points),Lineage 4 (Wx - fitness points),Lineage 5 (Wx - fitness points),Lineage 6 (Wx - fitness points),Lineage 7 (Wx - fitness points)
689,11112346555556438478583610,1777779061704783910,333335366600144010,444445702505988810,555556467162286110,666669082348657210,2222222933738450210,333334252800813710
690,11112346555556438282586110,1777779061206634210,333335367752300010,444445702505988810,555556467162286110,666669081182549210,2222222932814693510,333334252800813710
691,11112346555556438282586110,1777779061206634210,333335366334282410,444445700292262110,555556467162286110,666669081182549210,2222222932814693510,333334252800813710
692,11112346555556438282586110,1777779061276118310,333335366238520510,444445698063560810,555556467162286110,666669081182549210,2222222932814693510,333334252800813710
693,11112346555556438282586110,1777779059864524410,333335365657010110,444445697255626710,555556467162286110,666669079701883610,2222222932814693510,333334252444513510
694,11112346555556438282586110,1777779046395764410,333335365290098010,444445697445376510,555556467162286110,666669068793061610,2222222932814693510,333334252444513510
695,11112346555556438282586110,1777779045256163410,333335365139294410,444445695866038510,555556467162286110,666669066295002410,2222222932814693510,333334252444513510
696,11112346555556438282586110,1777779045256163410,333335364625257410,444445695866038510,555556466189544510,666669066295002410,2222222932814693510,333334252444513510
697,11112346555556436621026210,1777779045205429810,333335364625257410,444445695866038510,555556465903967510,666669066295002410,2222222932814693510,333334252444513510
698,11112346555556425902362910,1777779044401896710,333335364625257410,444445695468015610,555556468484797510,666669066365480710,2222222932827180510,333334250824261710
699,11112346555556425902362910,1777779044211025310,333335364625257410,444445695468015610,555556456999176710,666669065863859710,2222222932683074410,333334250676801710
700,11112346555556414698419810,1777779044211025310,333335364625257410,444445695445958810,555556454391702010,666669065863859710,2222222931296457810,333334250821220510
701,11112346555556414698419810,1777779044211025310,333335364316418610,444445695445958810,555556454391702010,666669065502702910,2222222931296457810,333334250056716510
702,11112346555556412387918110,1777779044211025310,333335364316418610,444445695394484510,555556454391702010,666669062584828710,2222222931296457810,333334250056716510
703,11112346555556411455046110,1777779044167239110,333335364316418610,444445695115421710,555556454391702010,666669052448959510,2111111817901799910,333334249160967310
704,11112346555556411455046110,1777779044373173810,333335364316418610,444445695115421710,555556454391702010,666669050825364310,2111111817901799910,333334249160967310
705,11112346555556411439747710,1777779042709494710,333335361847443010,444445695115421710,555556453950706010,666669050825364310,2111111817901799910,333334249157676410
706,11112346555556411280690410,1777779041341820710,333335361847443010,444445695115421710,555556443060827310,666669050825364310,2111111817624239410,333334248215282010
707,11112346555556411280690410,1777779041341820710,333335360289347310,444445694991910810,555556443060827310,666669050825364310,2111111817388360010,333334248215282010
708,11112346555556411280690410,1777779041341820710,333335360289347310,444445694991910810,555556443060827310,666669050825364310,2111111817388360010,333334248215282010
709,11112346555556402844355410,1777779041341820710,333335360289347310,444445694893712610,555556443060827310,666669050738775410,2111111817388360010,333334248158521410
710,11112346555556402736492310,1777779041341820710,333335357355990110,444445692436688710,555556443060827310,666669050148511210,2111111817388360010,333334248158521410
711,11112346555556401371431310,1777779041341820710,333335357355990110,444445692436688710,555556441410463610,666669048424715310,2111111816182840210,333334248158521410
712,11112346555556401343772010,1777779040868614310,333335357355990110,444445691830121210,555556440117284810,666669048424715310,2111111816182840210,333334248158521410
713,11112346555556400809461610,1777779040868614310,333335356529431110,444445691830121210,555556440117284810,666669048063862510,2111111816182840210,333334248126077410
714,11112346555556400809461610,1777779040263444310,333335356529431110,444445691155756610,555556440117284810,666669026005258910,2111111816182840210,333334249200068810
715,11112346555556400156356810,1777779040214030310,333335356529431110,444445691155756610,555556440117284810,666669026005258910,2111111813814079110,333334238626434010
716,11112346555556389016261310,1777779040008138310,333335356529431110,444445691155756610,555556440117284810,666669024412920110,2111111813147187210,333334238626434010
717,11112346555556388917807310,1777779040008138310,333335356529431110,444445691155756610,555556440117284810,666669024412920110,2111111813147187210,333334238626434010
718,11112346555556388917807310,1777779025599149510,333335356529431110,444445691155756610,555556426533578410,666669024412920110,2111111812347874610,333334236274284710
719,11112346555556388917807310,1777779025599149510,333335356529431110,444445690708142410,555556425256818910,666669024412920110,2111111812347874610,333334236274284710
720,11112346555556388917807310,1777779024279374010,333335356145094210,444445690708142410,555556425256818910,666669024412920110,2111111811063574110,333334235598201210
721,11112346555556388917807310,1777779024279374010,333335356145094210,444445690468669410,555556424270843410,666669024412920110,2111111809708805010,333334235598201210
722,11112346555556388917807310,1777779024279374010,333335356145094210,444445689279691810,555556422434711210,666669023081377510,2111111809533430510,333334235687804410
723,11112346555556388917807310,1777779024279374010,333335356145094210,444445689279691810,555556422434711210,666669023081377510,2111111809533430510,333334223630378610
724,11112346555556388917807310,1777779024279374010,333335356145094210,444445688187983810,555556421664036510,666669021891441910,2111111809533430510,333334223630378610
725,11112346555556388917807310,1777779024279374010,333335356145094210,444445688187983810,555556421652561210,666669020562192110,2111111809533430510,333334222892701710
726,11112346555556388917807310,1777779024279374010,333335356145094210,444445688187983810,444445337622697610,555557907463700110,2111111809533430510,333334222892701710
727,11112346555556377751489210,1777779024107512010,333335356145094210,444445686980077110,444445326928529910,555557907170898610,2111111809533430510,333334222341429010
728,11112346555556376761231110,1777779023588176110,333335356145094210,444445685557152210,444445326928529910,555557907170898610,2111111808124902710,333334222341429010
729,11112346555556376418726910,1777779023588176110,333335356145094210,444445685362437310,444445326928529910,555557906683030410,2111111808124902710,333334222341429010
730,11112346555556376418726910,1777779024725398710,333335355657482410,444445685362437310,444445324450538110,555557905566522410,2111111808124902710,333334222341429010
731,11112346555556376418726910,1777779022383514310,333335355657482410,444445684426640610,444445324450538110,555557905566522410,2111111808124902710,333334222341429010
732,11112346555556376418726910,1777779022383514310,333335355566152610,444445684426640610,444445324696409110,555557905437662910,2111111808124902710,333334222368696710
733,11112346555556374902153610,1777778999268714710,333335355566152610,444445684426640610,444445323505830210,555557905437662910,2111111808124902710,333334222010012910
734,11112346555556374902153610,1777778998824787310,333335355138379610,444445683270412810,444445323437883710,555557905437662910,2111111796401966410,333334222010012910
735,11112346555556374902153610,1777778998824787310,333335354810907610,444445683270412810,444445323437883710,555557904781787210,2111111796401966410,333334222010012910
736,11112346555556374459011110,1777778998824787310,333335354810907610,444445683270412810,444445323246725510,555557903680171210,2111111793654538610,333334222010012910
737,11112346555556373347853210,1777778998824787310,333335354585811810,444445683058470910,444445321944015910,555557903613071310,2111111793654538610,333334222010012910
738,11112346555556373534804210,1777778998704978310,333335354658536210,444445683058470910,444445321751899110,555557903573982510,2111111793654538610,333334222138683910
739,11112346555556373318305210,1777778998704978310,333335354381145210,444445682856861610,444445321751899110,555557903573982510,2111111793654538610,333334219657421910
740,11112346555556371962944710,1777778998116774310,333335354381145210,444445682856861610,444445321438426210,555557903573982510,2111111793654538610,333334218865296010
741,11112346555556371809405810,1777778998116774310,333335354381145210,444445681915567310,444445320494209010,555557903573982510,2111111793654538610,333334218865296010
742,11112346555556371700130610,1777778997524528310,333335353109452210,444445681915567310,444445319025998910,555557903573982510,2111111793654538610,333334218932134010
