Strand-0050	Domain-04-03-02	c.Domain-04-03-01	c.Domain-03-03-01	Domain-03-03-02		
Strand-0051	Domain-04-03-04	c.Domain-04-03-03	c.Domain-05-03-03	Domain-05-03-04		
Strand-0052	Domain-04-03-06	c.Domain-04-03-05	c.Domain-03-03-05	Domain-03-03-06		
Strand-0053	Domain-04-03-08	c.Domain-04-03-07	c.Domain-05-03-07	Domain-05-03-08		
Strand-0054	Domain-04-03-10	c.Domain-04-03-09	c.Domain-03-03-09	Domain-03-03-10		
Strand-0055	Domain-06-03-02	c.Domain-06-03-01	c.Domain-05-03-01	Domain-05-03-02		
Strand-0056	Domain-06-03-04	c.Domain-06-03-03	c.Domain-07-03-03	Domain-07-03-04		
Strand-0057	Domain-06-03-06	c.Domain-06-03-05	c.Domain-05-03-05	Domain-05-03-06		
Strand-0058	Domain-06-03-08	c.Domain-06-03-07	c.Domain-07-03-07	Domain-07-03-08		
Strand-0059	Domain-06-03-10	c.Domain-06-03-09	c.Domain-05-03-09	Domain-05-03-10		
Strand-0060	Domain-08-03-02	c.Domain-08-03-01	c.Domain-07-03-01	Domain-07-03-02		
Strand-0061	Domain-08-03-04	c.Domain-08-03-03	c.Domain-09-03-03	Domain-09-03-04		
Strand-0062	Domain-08-03-06	c.Domain-08-03-05	c.Domain-07-03-05	Domain-07-03-06		
Strand-0063	Domain-08-03-08	c.Domain-08-03-07	c.Domain-09-03-07	Domain-09-03-08		
Strand-0064	Domain-08-03-10	c.Domain-08-03-09	c.Domain-07-03-09	Domain-07-03-10		
Strand-0067	Domain-10-03-10	c.Domain-10-03-09	c.Domain-09-03-09	Domain-09-03-10		
Strand-0068	Domain-09-04-02	c.Domain-09-04-01	c.Domain-08-04-01	Domain-08-04-02		
Strand-0070	Domain-09-04-06	c.Domain-09-04-05	c.Domain-08-04-05	Domain-08-04-06		
Strand-0072	Domain-09-04-10	c.Domain-09-04-09	c.Domain-08-04-09	Domain-08-04-10		
Strand-0073	Domain-07-04-02	c.Domain-07-04-01	c.Domain-06-04-01	Domain-06-04-02		
Strand-0074	Domain-07-04-04	c.Domain-07-04-03	c.Domain-08-04-03	Domain-08-04-04		
Strand-0075	Domain-07-04-06	c.Domain-07-04-05	c.Domain-06-04-05	Domain-06-04-06		
Strand-0076	Domain-07-04-08	c.Domain-07-04-07	c.Domain-08-04-07	Domain-08-04-08		
Strand-0077	Domain-07-04-10	c.Domain-07-04-09	c.Domain-06-04-09	Domain-06-04-10		
Strand-0078	Domain-05-04-02	c.Domain-05-04-01	c.Domain-04-04-01	Domain-04-04-02		
Strand-0079	Domain-05-04-04	c.Domain-05-04-03	c.Domain-06-04-03	Domain-06-04-04		
Strand-0080	Domain-05-04-06	c.Domain-05-04-05	c.Domain-04-04-05	Domain-04-04-06		
Strand-0081	Domain-05-04-08	c.Domain-05-04-07	c.Domain-06-04-07	Domain-06-04-08		
Strand-0082	Domain-05-04-10	c.Domain-05-04-09	c.Domain-04-04-09	Domain-04-04-10		
Strand-0083	Domain-03-04-02	c.Domain-03-04-01	c.Domain-02-04-01	Domain-02-04-02		
Strand-0084	Domain-03-04-04	c.Domain-03-04-03	c.Domain-04-04-03	Domain-04-04-04		
Strand-0085	Domain-03-04-06	c.Domain-03-04-05	c.Domain-02-04-05	Domain-02-04-06		
Strand-0086	Domain-03-04-08	c.Domain-03-04-07	c.Domain-04-04-07	Domain-04-04-08		
Strand-0087	Domain-03-04-10	c.Domain-03-04-09	c.Domain-02-04-09	Domain-02-04-10		
Strand-0091	Domain-02-05-04	c.Domain-02-05-03	c.Domain-03-05-03	Domain-03-05-04		
Strand-0093	Domain-02-05-08	c.Domain-02-05-07	c.Domain-03-05-07	Domain-03-05-08		
Strand-0094	Domain-02-05-10	c.Domain-02-05-09	c.Domain-01-05-09	Domain-01-05-10		
Strand-0095	Domain-04-05-02	c.Domain-04-05-01	c.Domain-03-05-01	Domain-03-05-02		
Strand-0096	Domain-04-05-04	c.Domain-04-05-03	c.Domain-05-05-03	Domain-05-05-04		
Strand-0097	Domain-04-05-06	c.Domain-04-05-05	c.Domain-03-05-05	Domain-03-05-06		
Strand-0098	Domain-04-05-08	c.Domain-04-05-07	c.Domain-05-05-07	Domain-05-05-08		
Strand-0099	Domain-04-05-10	c.Domain-04-05-09	c.Domain-03-05-09	Domain-03-05-10		
Strand-0100	Domain-06-05-02	c.Domain-06-05-01	c.Domain-05-05-01	Domain-05-05-02		
Strand-0101	Domain-06-05-04	c.Domain-06-05-03	c.Domain-07-05-03	Domain-07-05-04		
Strand-0102	Domain-06-05-06	c.Domain-06-05-05	c.Domain-05-05-05	Domain-05-05-06		
Strand-0103	Domain-06-05-08	c.Domain-06-05-07	c.Domain-07-05-07	Domain-07-05-08		
Strand-0104	Domain-06-05-10	c.Domain-06-05-09	c.Domain-05-05-09	Domain-05-05-10		
Strand-0105	Domain-08-05-02	c.Domain-08-05-01	c.Domain-07-05-01	Domain-07-05-02		
Strand-0106	Domain-08-05-04	c.Domain-08-05-03	c.Domain-09-05-03	Domain-09-05-04		
Strand-0107	Domain-08-05-06	c.Domain-08-05-05	c.Domain-07-05-05	Domain-07-05-06		
Strand-0108	Domain-08-05-08	c.Domain-08-05-07	c.Domain-09-05-07	Domain-09-05-08		
Strand-0109	Domain-08-05-10	c.Domain-08-05-09	c.Domain-07-05-09	Domain-07-05-10		
Strand-0112	Domain-10-05-10	c.Domain-10-05-09	c.Domain-09-05-09	Domain-09-05-10		
Strand-0113	Domain-09-06-02	c.Domain-09-06-01	c.Domain-08-06-01	Domain-08-06-02		
Strand-0115	Domain-09-06-06	c.Domain-09-06-05	c.Domain-08-06-05	Domain-08-06-06		
Strand-0117	Domain-09-06-10	c.Domain-09-06-09	c.Domain-08-06-09	Domain-08-06-10		
Strand-0118	Domain-07-06-02	c.Domain-07-06-01	c.Domain-06-06-01	Domain-06-06-02		
Strand-0119	Domain-07-06-04	c.Domain-07-06-03	c.Domain-08-06-03	Domain-08-06-04		
Strand-0120	Domain-07-06-06	c.Domain-07-06-05	c.Domain-06-06-05	Domain-06-06-06		
Strand-0121	Domain-07-06-08	c.Domain-07-06-07	c.Domain-08-06-07	Domain-08-06-08		
Strand-0122	Domain-07-06-10	c.Domain-07-06-09	c.Domain-06-06-09	Domain-06-06-10		
Strand-0123	Domain-05-06-02	c.Domain-05-06-01	c.Domain-04-06-01	Domain-04-06-02		
Strand-0124	Domain-05-06-04	c.Domain-05-06-03	c.Domain-06-06-03	Domain-06-06-04		
Strand-0125	Domain-05-06-06	c.Domain-05-06-05	c.Domain-04-06-05	Domain-04-06-06		
Strand-0126	Domain-05-06-08	c.Domain-05-06-07	c.Domain-06-06-07	Domain-06-06-08		
Strand-0127	Domain-05-06-10	c.Domain-05-06-09	c.Domain-04-06-09	Domain-04-06-10		
Strand-0128	Domain-03-06-02	c.Domain-03-06-01	c.Domain-02-06-01	Domain-02-06-02		
Strand-0129	Domain-03-06-04	c.Domain-03-06-03	c.Domain-04-06-03	Domain-04-06-04		
Strand-0130	Domain-03-06-06	c.Domain-03-06-05	c.Domain-02-06-05	Domain-02-06-06		
Strand-0131	Domain-03-06-08	c.Domain-03-06-07	c.Domain-04-06-07	Domain-04-06-08		
Strand-0132	Domain-03-06-10	c.Domain-03-06-09	c.Domain-02-06-09	Domain-02-06-10		
Strand-0136	Domain-02-07-04	c.Domain-02-07-03	c.Domain-03-07-03	Domain-03-07-04		
Strand-0138	Domain-02-07-08	c.Domain-02-07-07	c.Domain-03-07-07	Domain-03-07-08		
Strand-0139	Domain-02-07-10	c.Domain-02-07-09	c.Domain-01-07-09	Domain-01-07-10		
Strand-0140	Domain-04-07-02	c.Domain-04-07-01	c.Domain-03-07-01	Domain-03-07-02		
Strand-0141	Domain-04-07-04	c.Domain-04-07-03	c.Domain-05-07-03	Domain-05-07-04		
Strand-0142	Domain-04-07-06	c.Domain-04-07-05	c.Domain-03-07-05	Domain-03-07-06		
Strand-0143	Domain-04-07-08	c.Domain-04-07-07	c.Domain-05-07-07	Domain-05-07-08		
